Sourec airport IATA,Soure airport ID,Source Country,Source City,Cource airport name,Source Lat,Source Long,source timezone,source DST,Destination Airport IATA,Destination Airport ID,Destination Country,Destination city,Desitination Airport name,Destination Lat,Destination Long,Destination timezone,Destination DST,Distance
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,GYD,2922,Azerbaijan,Baku,Heydar Aliyev International Airport,40.46749878,50.04669952,4,E,1969.546785
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,HRB,3400,China,Harbin,Taiping Airport,45.62340164,126.25,8,U,4536.080507
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,KJA,4374,Russia,Krasnoyarsk,Yemelyanovo Airport,56.172901,92.493301,7,N,1930.710105
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,LBD,6147,Tajikistan,Khudzhand,Khudzhand Airport,40.2154007,69.69470215,5,U,1947.342687
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,LCA,1197,Cyprus,Larnaca,Larnaca International Airport,34.87509918,33.62490082,2,E,3174.990598
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,NMA,6150,Uzbekistan,Namangan,Namangan Airport,40.98460007,71.55670166,5,U,1915.435259
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,NSK,4352,Russia,Norilsk,Norilsk-Alykel Airport,69.31109619,87.3321991,7,N,1904.787469
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,OSS,2913,Kyrgyzstan,Osh,Osh Airport,40.60900116,72.79329681,6,U,1991.713886
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,1370.297259
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,PEK,3364,China,Beijing,Beijing Capital International Airport,40.08010101,116.5849991,8,U,4364.680638
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,TAS,2983,Uzbekistan,Tashkent,Tashkent International Airport,41.25790024,69.28119659,5,U,1826.301239
